Id,URL,Image,Title,Date,Video Views (Organic),Video Views (Paid),Reach (Organic),Reach (Paid),Likes (Organic),Saved (Organic),Comments (Organic),Interactions (Organic),Interactions (Paid),Engagement,Post clicks (Paid),Spend
"3192407766958321248_55644265820","https://www.instagram.com/reel/CxNtfMvv65g/","https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/376184122_1324650204809932_1905514251991983617_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=JKf5Ui2fjm4AX8k93X-&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBfeZ4ZEk07b_fOTq2d3Wrhqj8YacoOihM7HaGFH9julA&oe=65095029","On est d'ICI !📍 

C'est toujours bon de le dire, mais on vit dans une belle région. La Côte Basque, les vallons Béarnais, les cimes des Hautes Pyrénées, les forêts Landaises... 

Vous aimez la région ? Dites le avec un ❤️

-----------------

Tous les jours, Interventions Nuisibles est à vos côtés pour protéger votre bien être. Nos équipes déploient tout leur savoir-faire et mettent à votre disposition leurs conseils et leur expertise pour résoudre vos problèmes d'infestation dans les meilleures conditions. 

De Mont-de-Marsan à Dax, en passant par Biarritz et Bayonne, d'Orthez à Tarbes en passant par Pau, nos équipes sont à vos côtés dans le Sud-Ouest et au de là. Parce que oui, Interventions Nuisibles agit jusqu'aux alentours d'Avignon, ainsi que dans le Gers et la région toulousaine. 

Et parce qu'une infestation ne prévient jamais à l'avance, notre standard est ouvert 24h/24, 7j/7, pour vous assister et vous accompagner dans toutes vos urgences. 

-----------------

Gardez le contact en nous suivant ⤵️

#sudouest #france #cotebasque #basquecountry #bayonne #anglet #bearn #pau #orthez #hautespyenees #tarbes #lourdes #pyrenees #montagnes #ocean #plage #beach #landscape #beautiful #region #countryside #followme",2023-09-15 15:31,103,,94,,5,0,0,5,,"53.19",,
"3190932853184333014_55644265820","https://www.instagram.com/reel/CxIeIYQLQTW/","https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/378527600_1352949955571993_4070444840390548770_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=9CgAOS2ZMVgAX-0xux6&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCL71uEaTBJau4yKR6eU2q0XSuWDu4jwF5nZ4O2sAJuMA&oe=65099EE7","Le saviez vous ?

Depuis l'Antiquité, on cherche à éloigner les nuisibles, ou bien à s'en débarrasser une fois qu'ils ont envahi un espace.

Mais la modernisation de la lutte contre les infestations remonte au XIIIè siècle !

C'est notamment grâce à la recherche scientifique, en matière de mécanisation des pièges et de compréhension des écosystèmes, que les tâches se professionnalisent.

Dès la fin du siècle, de nombreuses villes européennes lancent des campagnes de dératisations massives, ainsi que de lutte contre la prolifération des puces.

Des actions menées à la fois pour prévenir l'apparition de maladies, mais aussi pour lutter contre l'impact néfaste de ces nuisibles sur les récoltes et dans les réserves alimentaires.

Likez la publication et suivez @interventionsnuisibles !

#culture #history #histoire #science #sciencefacts #connaissance #culturegenerale #interessant #lesaviezvous #europe #renaissance #rats",2023-09-13 14:41,144,,140,,1,0,0,1,,"7.14",,
"3190112171916186715_55644265820","https://www.instagram.com/reel/CxFjh5QttRb/","https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/376744850_708031887451418_7987288289868049183_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=n6IN4n_OdD8AX_PIgTF&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAXOZGiahKgd7-npVz58vDRaBI8r-3tdELciDNNdSqrAA&oe=650A2281","⁉️Le saviez vous ?

Oui, le cafard est un insecte fascinants ! Invasif, il est redoutable de part sa capacité à survire à tout types de situations. 

Il est capable de survivre pendant une semaine après avoir été décapité. Au bout de cette période, l'insecte meurt cependant de déshydratation. 

Cependant, si la légende dit que le cafard serait le seul être vivant à pouvoir survivre à une explosion nucléaire, on sait aujourd'hui que c'est faux !

Pour les scientifiques, cette propriété serait commune à tous les insectes, sans doute de part leur faible quantité d'ADN. Les bactéries seraient d'ailleurs plus résistantes face à ce genre d'agressions que la plupart des êtres vivants. 

Pour battre les nuisibles, il faut les connaître ! Devenez incollable sur ces envahisseurs, suivez Interventions Nuisibles !",2023-09-12 11:30,55,,37,,2,1,0,3,,"81.08",,
"3187334992979506209_55644265820","https://www.instagram.com/reel/Cw7sEn0tzQh/","https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/375859086_266434789605243_8507275151930212106_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=GDSwWoQt41YAX-g1cBR&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCZJQbuEcTdMAiPaMuMUv5LCISiOQ2DXUH3lzhoNMTYBA&oe=650A1319","🏩Les punaises de lit envahissent nos hôpitaux ? 

De plus en plus d'établissements (hôtels, cinémas, résidences...) constatent la présence de punaises de lit dans leurs murs. 

Contrairement à une idée répandue, cela n'a rien à voir avec une question d'hygiène. 

S'en débarrasser nécessite l'intervention de professionnels !

#nuisibles #insectes #hopital #boulognesurmer #punaisesdelits #intervention #infestation #desinsectisation #news #instagood",2023-09-08 15:53,250,,229,,6,0,0,6,,"26.2",,
"3180859802825199909_55644265820","https://www.instagram.com/reel/CwkryNDtxEl/","https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/373414433_2009825326038497_2278302445349027728_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ThOd6I4DQJ8AX-iRvP_&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBaRVLnx7HNlW_bhQ-GJk5UEqMGN_goKa7FEnc2hP898w&oe=65099301","L'hiver arrive ! ❄️

Alors pour tout préparer dans les meilleures conditions, Interventions Nuisibles vous donne ses meilleurs conseils 💬

#nuisibles #interventions #hiver #maison #toulouse #pau #avignon #fleurance",2023-08-30 17:08,57,,40,,1,0,0,1,,"25",,
"3180215104922026274_55644265820","https://www.instagram.com/reel/CwiZMnWNYEi/","https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/371346604_1046240079876577_1424348732414170550_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=H-4J3UBbwhYAX_euADL&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAv5YYaIRNomK2s8N0hlHfLSUJQE5wtPgNWSIJtMyL_mA&oe=65098490","⌛L'été touche à sa fin ; l'arrivée de l'automne et de l'hiver annonce le retour d'un certains nombres de nuisibles hautement invasifs. 

🐀 Rats, souris et autres rongeurs peuvent s'installer dans les bâtiments en quête de nourriture et de chaleur. Potentiellement porteurs de maladies, ces animaux sont aussi de véritables destructeurs, en rongeant et dégradant les câbles et les murs. 

🐞 Puces et punaises de lit s'infiltrent aussi dans les parquets, tissus et matelas, à la recherche d'un lieu de vie humide et chaud avec du sang humain à portée pour passer l'hiver. 

🚧 Pour prévenir l'arrivée de ces nuisibles invasifs et d'autres espèces envahissantes, la meilleure solution reste l'appel à un professionnel. 

Interventions Nuisibles vous aide à préparer l'hiver : des conseils, une analyse et des actions sur mesure, adaptés à votre situation. 

#nuisibles #winter #fall #health",2023-08-29 19:47,76,,69,,0,0,0,0,,"0",,
"3176438074560522089_55644265820","https://www.instagram.com/reel/CwU-ZltNKdp/","https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/369693964_308078665050225_6604542374277255776_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=HLmv3uaHGswAX-YuRFI&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCRf8YlOLnact12555OvLEAnjGvEYy8BMNgOnyBDpghog&oe=65095527","🐝Savez vous distinguer une guêpe d'une abeille ? 

L'été, ces deux insectes pollinisateurs peuvent venir tourner autour de nous, de notre nourriture ou de nos fleurs. 

Avant d'agir, il est important de savoir différencier les deux espèces ; chacune mène à des interventions différentes ! 

Si vous avez un doute, n'hésitez pas à vous tourner vers un professionnel ; il saura dresser un bilan complet de votre situation et vous recommander les meilleures actions pour retrouver votre sérénité pour la fin de l'été. 

#summer #abeille #fleurs",2023-08-24 14:42,61,,45,,1,0,0,1,,"22.22",,
"3174908053555619739_55644265820","https://www.instagram.com/reel/CwPig2mtaeb/","https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/368566843_331332605899195_4258919307219267207_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=B0rwaXNQ5bsAX_RPH7D&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDls_Olej9Xw4yvDGvXIAzLTIV4WckCBRLpiQwDpTA94Q&oe=6509895D","Lutter contre les nuisibles c'est aussi agir pour la planète 🌍

Avec l'apparition d'espèces invasives comme les frelons asiatiques, la biodiversité est menacée. 

Meilleur exemple avec l'abeille : essentielle pour l'environnement et l'alimentation de nombreuses espèces d'animaux, d'insectes et de végétaux, elle qui est menacée est encore plus en péril depuis l'apparition du frelon asiatique. 

Ce prédateur s'en prend aux ruches, pouvant en quelques heures annihiler une colonie toute entière. 

En éliminant un nid de frelon, vous protégez votre santé, vos proches et votre logement, mais aussi tout l'écosystème de votre jardin 🏡

⚠️ Attention les frelons asiatiques représentent un vrai danger : faites appel à des professionnels  pour une élimination de ces nuisibles dans les meilleures conditions ✅

Interventions Nuisibles se tient à vos côtés ☎️ 05 54 54 20 27

#savethebee #abeilles #instagood",2023-08-22 12:02,185,,160,,2,0,0,2,,"12.5",,
"3172157816504118304_55644265820","https://www.instagram.com/reel/CwFxLowNOwg/","https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/367754282_869875647895415_5985263511573071088_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=mML6j0H6lP8AX_oZo1H&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfByJVdeBjPcsIlLccS7xydewKkhfbrnd2o505fCQtmRDA&oe=6509FBEE","🌡️L'été s'achève par une vague de chaleur ☀️

Des conditions parfaites pour la prolifération de certains nuisibles. 

En plus de représenter une gêne au quotidien, ces envahisseurs incarnent un véritable enjeu sanitaire. 

Fourmis, blattes, cafards et autres nuisibles des placards peuvent accéder à vos réserves et potentiellement contaminer votre alimentation. Pour vous en prémunir, il est essentiel d'inspecter régulièrement vos rangements, d'assurer leur propreté mais aussi de mettre dans des containers hermétiques tous vos paquets ouverts. 

Autres espèces invasives, les puces, tiques et punaises de lits peuvent troubler votre confort, en plus d'impacter votre santé. Leur porte d'entrée favorite est, de loin, votre animal de compagnie. Chien ou chat, au moindre signe de démangeaison, il faut agir !

➡️ Mais même en maintenant une hygiène irréprochable, il peut être très difficile de lutter contre une invasion de nuisibles. Une fois installés, ceux ci peuvent survivre à de nombreux produits grands publics. 

La meilleure solution : faire appel à des professionnels de la désinsectisation et de l'extermination de nuisibles. 

N'attendez plus, contactez une équipe aguerrie qui mettra tout son savoir faire à votre service !

⚠️ Intervention Nuisibles
☎️ 05 54 54 20 27

🚨 Urgences Nouvelle Aquitaine et Occitanie :

07 49 79 54 27
07 49 60 28 82

🚨 Urgences Provence :

07 88 31 02 60

#nuisibles #interventionsnuisibles #ete #summer #protectioncontrelesmoustiques #frelonasiatique #blattes #cafards #maladies #urgence #santé #desinsectisation #destructiondenids #professionnals #sudouest #occitanie
#provence #aquitaine #pau #toulouse #auch #avignon",2023-08-18 16:58,84,,57,,1,1,0,2,,"35.09",,
"3171981248419027666_55644265820","https://www.instagram.com/reel/CwFJCO6N1rS/","https://scontent-lcy1-1.cdninstagram.com/v/t51.36329-15/368494384_1390218048210279_547745710944590005_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=h9sEUVxWA7YAX9ZJUxA&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBTPQYgpMFRRVr4pOVowYC6kG5pqpckwP45qZ-Ks0-X6g&oe=6509CEEF","🌄L'été touche à sa fin 🏖️

Mais il ne faut pas relâcher l'attention ! Au cours des 5 dernières années, 62% des français ont subit une infestation de nuisibles : blattes, cafards, puces, fourmis... Des nuisibles dangereux pour votre logement mais aussi pour votre santé. 

Les espèces invasives sont à l'origine de nombreux troubles : réactions allergiques, transmission de maladies mais aussi danger inhérent à l'espèce. 

Au delà des espèces nuisibles propres à nos régions, chaque année, des envahisseurs progressent dans l'Hexagone, et à grande vitesse. Moustique tigre, frelon asiatique... Très résistants et bien installés, ces nuisibles sont sources de dangers parfois encore plus grands. 

➡️ Alors, pour vous prémunir, faites appel à des professionnels. 

Si le choix d'une solution faite maison peut paraître intéressant, il représente pourtant un surcout de 28% dans la plupart des cas : produits grands publics chers et peu efficaces, sur invasion, intervention plus intense à mener... 

N'attendez plus, contactez une équipe aguerrie qui mettra tout son savoir faire à votre service !

⚠️ Intervention Nuisibles
☎️ 05 54 54 20 27

🚨 Urgences Nouvelle Aquitaine et Occitanie :

07 49 79 54 27
07 49 60 28 82

🚨 Urgences Provence :

07 88 31 02 60 

#nuisibles #interventionsnuisibles #ete #summer #protectioncontrelesmoustiques #frelonasiatique #blattes #cafards #maladies #urgence #santé #desinsectisation #destructiondenids #professionnals #sudouest #occitanie
#provence #aquitaine #pau #toulouse #auch #avignon",2023-08-18 11:12,59,,47,,1,0,0,1,,"21.28",,
